17,345
14,333
14,228
13,67
15,294
16,486
13,318
14,286
14,288
14,339
14,247
15,521
12,540
15,243
16,305
17,336
14,1046
12,151
13,420
17,357
12,442
13,318
16,175
15,129
13,257
12,196
12,189
14,186
17,492
16,178
13,224
17,312
15,214
18,190
15,198
20,379
20,342
11,403
11,1102
11,471
24,896
19,194
17,198
13,521
19,443
21,419
17,705
18,637
18,230
19,579
20,645
14,191
14,685
16,181
13,211
18,426
20,649
17,255
16,501
15,644
16,314
13,981
34,616
52,1310
61,1987
9,200
169,326
62,423
67,302
19,415
19,499
20,1094
24,623
14,250
26,1024
18,403
17,550
20,1320
18,247
12,477
14,236
17,769
17,214
20,298
12,331
18,356
15,139
17,462
16,368
15,370
16,212
14,297
16,283
19,519
21,146
96,7
133,592
96,43
102,6
118,39
79,80
85,311
88,330
88,296
86,515
89,351
19,50
19,111
20,77
18,246
18,187
22,51
20,218
20,255
19,445
96,7
134,21
98,40
102,16
118,40
80,26
119,24
86,294
78,83
75,12
89,443
119,412
106,279
87,481
91,328
86,98
92,255
95,364
100,378
87,369
110,380
87,62
88,462
94,518
84,500
85,508
76,309
79,435
105,122
88,345
83,111
80,271
84,322
75,23
89,347
80,184
104,322
101,127
107,226
94,434
94,52
113,348
109,215
110,347
98,137
85,411
94,304
71,348
73,314
103,346
70,88
74,350
77,484
83,288
77,266
84,331
96,215
81,465
100,48
121,9
36,203
69,358
185,172
166,317
71,189
139,54
86,174
103,516
134,19
104,26
130,946
43,269
60,273
90,4
69,742
203,424
88,411
115,287
119,201
97,231
76,437
85,349
71,355
62,251
57,379
83,338
82,273
64,285
80,335
110,376
99,284
89,116
73,199
86,250
68,375
58,315
72,391
87,384
76,323
100,328
89,105
125,720
69,5
55,20
109,9
73,63
68,81
66,43
70,289
67,250
73,123
87,368
100,119
98,1951
132,49
83,9
94,615
83,18
89,383
86,184
86,410
113,172
60,235
105,533
92,35
111,13
81,229
184,269
97,335
201,19
122,283
105,11
78,5
70,13
72,111
63,19
132,203
161,534
67,347
101,236
92,552
108,79
90,38
87,20
84,137
95,227
109,253
143,51
381,21
121,2
56,36
269,112
81,493
115,95
105,89
79,21
71,24
82,322
138,33
12,320
9,520
13,245
11,358
11,354
14,331
14,426
12,346
11,308
15,553
10,368
14,543
13,419
13,306
13,372
11,315
13,311
9,358
14,348
12,360
9,321
12,492
16,380
11,339
10,307
14,334
16,452
12,325
17,331
13,381
17,326
13,288
15,355
14,432
11,398
11,318
9,327
16,434
13,342
18,481
16,393
19,358
16,373
18,380
16,375
16,459
14,413
16,368
14,347
15,341
14,449
12,421
13,330
12,312
15,378
10,363
13,338
15,391
20,459
15,283
15,644
16,301
17,381
14,311
14,341
19,355
15,325
14,462
19,319
16,411
14,389
13,437
14,329
17,284
16,286
12,338
15,270
14,435
17,388
15,457
16,314
15,367
19,261
17,295
13,515
16,357
16,363
14,333
18,336
17,272
19,355
14,271
18,258
16,414
15,394
15,321
19,300
23,388
16,139
14,320
19,295
16,366
24,425
16,228
16,331
14,266
17,311
17,295
14,395
19,329
16,350
25,498
16,475
15,302
16,336
16,234
19,332
16,201
21,304
18,342
17,218
15,266
17,412
17,339
17,368
17,286
18,368
15,343
24,248
14,369
18,250
16,351
17,446
17,309
18,259
20,307
17,295
16,265
21,279
17,440
19,321
24,263
16,295
19,341
19,371
18,374
17,290
15,355
12,302
11,210
15,220
15,296
16,286
13,367
13,282
17,339
11,319
15,290
16,341
14,339
14,268
18,389
12,339
13,276
15,418
14,266
12,246
17,246
13,306
10,357
14,444
12,288
18,310
13,360
15,324
14,260
14,339
15,268
12,422
17,333
14,325
15,334
12,277
16,312
13,343
15,339
13,434
17,360
13,359
15,346
15,502
16,343
13,373
15,384
14,455
15,441
13,345
15,256
14,368
15,410
13,272
16,392
13,290
14,380
14,347
20,281
17,894
19,365
15,442
15,376
16,408
19,330
18,304
17,369
16,542
14,296
20,497
14,340
15,285
19,419
22,516
15,459
16,407
18,424
17,368
18,417
20,469
16,403
18,325
17,301
22,469
16,276
16,294
17,337
20,464
17,298
15,418
16,313
17,348
16,454
21,469
16,431
16,328
18,331
17,400
18,291
13,382
12,352
13,392
14,500
13,263
16,395
16,295
13,387
13,53
16,330
13,322
12,272
13,417
11,523
11,432
13,297
12,300
16,261
16,406
16,393
11,389
16,355
14,376
11,450
19,262
15,539
15,354
13,350
14,388
15,488
15,305
13,351
16,325
11,220
18,322
13,166
17,294
12,445
14,367
15,537
16,257
17,369
16,387
14,445
16,325
18,467
14,319
12,353
16,365
12,484
18,290
18,408
18,447
13,389
11,375
16,353
15,338
12,273
14,372
12,386
12,334
13,476
11,421
12,388
11,354
22,386
14,333
13,370
14,524
13,346
